Number,Subject,TimeQuest,Question,Answer,TimeTemp
111,Lesson_30,1556.78,"Say that yes, you do.","Yes, I do.",1564.85
112,Lesson_30,1569.33,Но у нас немного времени.,But we don’t have much time.,1580.49
113,Lesson_30,1580.49,А мы собираемся уехать.,And we are going to leave.,1590.92
114,Lesson_30,1590.92,Завтра утром.,Tomorrow morning.,1598.9
115,Lesson_30,1602.53,Ask her if she bought anything.,Did you buy anything?,1612.32
116,Lesson_30,1612.32,How does she say that she bought a lot of things.,I bought a lot of things.,1623.84
117,Lesson_30,1632.1,Ask her what she bought.,What did you buy?,1640.62
118,Lesson_30,1640.62,Answer «американскую газету».,An American newspaper.,1651.23
119,Lesson_30,1651.23,Для моего мужа.,For my husband.,1658.94
120,Lesson_30,1658.94,Say «я купила газету для него».,I bought a newspaper for him.,1669.92
121,Lesson_30,1673.94,И я купила кое‐что.,And I bought something.,1683.11
122,Lesson_30,1683.11,Для своей подруги.,For my friend.,1690.36
123,Lesson_30,1695.4,Я купила кое‐что для нее.,I bought something for her.,1705.92
124,Lesson_30,1709.69,Мы собираемся уехать завтра утром.,We’re going to leave tomorrow morning.,1721.48
