Number,Subject,TimeQuest,Question,Answer,TimeTemp
63,Lesson_29,868.49,And how do you say «я здесь уже несколько дней».,I’ve been here for a few days.,882.9
64,Lesson_29,888.46,Say again «мы здесь уже со вчерашнего дня».,We’ve been here since yesterday.,900.98
65,Lesson_29,906.13,«Что вы купили вчера?» Listen and repeat.,What did you buy yesterday?,913.48
66,Lesson_29,951.72,Спросите еще раз «что вы купили вчера?»,What did you buy yesterday?,962.27
67,Lesson_29,962.27,Сейчас слушайте и повторяйте ответ.,I bought something.,969.53
68,Lesson_29,978.77,"Спросите, что она купила.",What did you buy?,986.93
69,Lesson_29,990.7,Answer «я купила кое‐что».,I bought something.,1000.04
70,Lesson_29,1003.98,Ask «что вы купили вчера?»,What did you buy yesterday?,1014.77
71,Lesson_29,1014.77,Try to ask «что вы делали вчера?»,What did you do yesterday?,1027.29
72,Lesson_29,1034.13,Answer «я купила кое‐что».,I bought something.,1042.3
73,Lesson_29,1042.3,Ask «что вы купили?»,What did you buy?,1051.1
74,Lesson_29,1055.17,Try to say «кое‐что выпить».,Something to drink.,1064.42
75,Lesson_29,1064.42,Я купила кое‐что выпить.,I bought something to drink.,1074.22
76,Lesson_29,1074.22,Я купила вина.,I bought some wine.,1082.93
77,Lesson_29,1088.31,And a newspaper. Ask what that means.,What does that mean?,1098.38
78,Lesson_29,1098.38,Слово «newspaper».,The word «newspaper».,1108.63
79,Lesson_29,1112.1,Try to ask «что означает это слово?»,What does that word mean?,1122.72
80,Lesson_29,1128,That means «газета». Повторяйте вслед за диктором.,Newspaper,1136.53
81,Lesson_29,1154.09,"Скажите, что вы купили газету.",I bought a newspaper.,1163.97
82,Lesson_29,1168.75,Try to ask «американскую газету?»,An American newspaper?,1179.52
83,Lesson_29,1185.21,"Да, американскую газету.","Yes, an American newspaper.",1197.81
84,Lesson_29,1197.81,Ask «сколько времени вы уже здесь?»,How long have you been here?,1209.51
85,Lesson_29,1214.62,Я здесь уже несколько дней.,I’ve been here for a few days.,1226.23
86,Lesson_29,1231.48,Now say «со вчерашнего дня».,Since yesterday.,1240.37
87,Lesson_29,1244.21,Что вы делали вчера?,What did you do yesterday?,1254.37
88,Lesson_29,1254.37,Я купила вина.,I bought some wine.,1263.16
89,Lesson_29,1263.16,Try to say «немного дорогого вина».,Some expensive wine.,1273.87
90,Lesson_29,1273.87,И американскую газету.,And an American newspaper.,1285.39
91,Lesson_29,1290.98,Try to say «неплохо».,Not bad.,1299.69
92,Lesson_29,1302.96,Say «у моего мужа нет вина».,My husband doesn’t have any wine.,1314.84
93,Lesson_29,1320.83,Я купила вина.,I bought some wine.,1329.9
94,Lesson_29,1329.9,Для своего мужа.,For my husband.,1338.06
95,Lesson_29,1338.06,"Имея ввиду ту газету, которую вы купили, скажите 'газета для меня'.",The newspaper is for me. ,1351.92
96,Lesson_29,1355.25,«А вино для него». Listen and repeat.,And the wine is for him.,1363.6
97,Lesson_29,1376.09,How do you say «для него?»,For him.,1385.07
98,Lesson_29,1385.07,Say again «вино для него».,The wine is for him.,1394.82
99,Lesson_29,1399.95,Также я купила немного кофе.,I bought some coffee too.,1410.38
100,Lesson_29,1410.38,Кофе для моей подруги Мери.,The coffee is for my friend Marry.,1423.44
101,Lesson_29,1423.44,«Кофе для нее». Listen and repeat.,The coffee is for her.,1431.69
102,Lesson_29,1444.19,Say «это для нее».,It’s for her.,1452.62
103,Lesson_29,1458.97,Say «вино для него».,The wine is for him.,1468.32
104,Lesson_29,1472.37,Say «Кофе для нее».,The coffee is for her.,1481.62
105,Lesson_29,1485.1,Вот как спросить «вам нравится вино?» Listen and repeat.,Do you like wine?,1493.27
106,Lesson_29,1506.73,Ask again «вам нравится вино?»,Do you like wine?,1516.43
107,Lesson_29,1520.52,Try to say «мне нравится».,I like.,1528.68
108,Lesson_29,1531.58,Мне нравится вино.,I like wine.,1538.75
109,Lesson_29,1538.75,And how do you say «я хотела бы немного вина».,I’d like some wine.,1549.45
110,Lesson_29,1552.61,Ask «вам нравится вино?»,Do you like wine?,1561.15
111,Lesson_29,1564.15,Я хотела бы немного вина.,I’d like some wine.,1573.74
112,Lesson_29,1573.74,Ask «вы хотели бы немного вина?»,Would you like some wine?,1584.27
113,Lesson_29,1584.27,"Answer «нет, спасибо».","No, thank you. No, thanks.",1595.88
114,Lesson_29,1595.88,Я ничего не хочу.,I don’t want anything.,1604.76
115,Lesson_29,1609.81,"Имея ввиду какое‐нибудь пиво вообще, скажите «мой муж хотел бы пива».",My husband would like a beer.,1624.77
116,Lesson_29,1624.77,Say «вот пиво».,Here’s a beer.,1633.12
117,Lesson_29,1633.12,Это для него.,It’s for him.,1640.28
118,Lesson_29,1644.18,"Скажите «вино для нее», имея ввиду эту конкретную порцию вина.",The wine is for her.,1657.79
119,Lesson_29,1702.81,"Скажите, что вы кое‐что купили для своей жены.",I’ve bought something for my wife.,1714.98
120,Lesson_29,1722.05,How long are you going to stay in Boston?,For a week.,1731.48
121,Lesson_29,1736.56,Скажите ей «я хотел бы остаться на несколько недель».,I’d like to stay for a few weeks.,1752.71
122,Lesson_29,1752.71,Но у меня немного времени.,But I don’t have much time.,1764.5
123,Lesson_29,1770.63,Do you like Boston?,"Yes, I do.",1778.65
