Number,Subject,TimeQuest,Question,Answer,TimeTemp
59,Lesson_27,779.12,How do you say «я не хочу уезжать».,I don’t want to leave.,791
60,Lesson_27,791,"А сейчас скажите просто, что вы не хотите.",I don’t want to.,801.4
61,Lesson_27,805.48,Say «я собираюсь уехать завтра».,I’m going to leave tomorrow.,817.72
62,Lesson_27,824.58,"Try to say «я думаю, что я собираюсь уехать завтра».",I think I’m going to leave tomorrow.,840.45
63,Lesson_27,847.7,«Мы собираемся уехать». Listen and repeat.,We’re going to leave.,856.41
64,Lesson_27,873.51,Now say «мы собираемся уехать завтра».,We’re going to leave tomorrow.,884.39
65,Lesson_27,893.46,«Мы собираемся уехать вместе». Listen and repeat.,We’re going to leave together.,903.62
66,Lesson_27,929.37,Try to say «мы едем в Бостон вместе».,We are going to Boston together.,942.19
67,Lesson_27,948.8,Моя жена и я,My wife and I,957.88
68,Lesson_27,957.88,Мы едем в Бостон,We are going to Boston,967.31
69,Lesson_27,967.31,вместе ,together,973.3
70,Lesson_27,973.3,Моя жена хочет увидеть нескольких друзей.,My wife wants to see a few friends.,985.99
71,Lesson_27,994.47,А я собираюсь работать.,And I’m going to work.,1005.71
72,Lesson_27,1005.71,Say «я хочу уехать с вами».,I want to leave with you.,1016.6
73,Lesson_27,1020.29,Но я не могу.,But I can’t.,1026.82
74,Lesson_27,1029.7,Now say «я так не думаю».,I don’t think so.,1038.86
75,Lesson_27,1043,Почему?,Why?,1048.9
76,Lesson_27,1048.9,Потому что ,Because,1055.16
77,Lesson_27,1055.16,У меня нет денег.,I don’t have any money.,1063.32
78,Lesson_27,1067.32,У меня ничего нет.,I don’t have anything.,1076.11
79,Lesson_27,1080.6,Say «у меня много денег».,I have a lot of money.,1091.3
80,Lesson_27,1091.3,У меня есть 90 долларов.,I have ninety dollars.,1102.1
81,Lesson_27,1102.1,Или 100 долларов.,Or one hundred dollars.,1112.8
82,Lesson_27,1112.8,Вы можете уехать с нами.,You can leave with us.,1123.69
83,Lesson_27,1128.76,Завтра.,Tomorrow.,1135.38
84,Lesson_27,1135.38,Try to say «моя жена хочет уехать завтра».,My wife wants to leave tomorrow.,1149.08
85,Lesson_27,1149.08,Мы едем в Бостон.,We are going to Boston.,1159.78
86,Lesson_27,1159.78,Вместе ,Together,1166.68
87,Lesson_27,1166.68,Потом,Then,1171.75
88,Lesson_27,1174.8,Мы едем в Вашингтон.,We are going to Washington.,1185.05
89,Lesson_27,1185.05,Может быть.,Maybe,1191.85
90,Lesson_27,1191.85,Мы хотели бы увидеть нашу подругу «Marry».,We’d like to see our friend Marry.,1204.64
91,Lesson_27,1214.36,Они живет в Вашингтоне.,She lives in Washington.,1224.88
92,Lesson_27,1228.77,И она работает там.,And she works there.,1237.93
93,Lesson_27,1241.78,«У нее нет машины». Listen and repeat.,She doesn’t have a car.,1250.03
94,Lesson_27,1277.77,Скажите еще раз «у нее нет машины».,She doesn’t have a car.,1288.29
95,Lesson_27,1293.97,Say «она работает в Вашингтоне».,She works in Washington.,1305.58
96,Lesson_27,1305.58,И у нее нет машины?,And she doesn’t have a car?,1316.91
97,Lesson_27,1316.91,Try to say «ей не нужна машина».,She doesn’t need a car.,1329.43
98,Lesson_27,1349.11,Now say again «у нее нет машины».,She doesn’t have a car.,1360.09
99,Lesson_27,1360.09,"Try to say «я не думаю, что ей нужна машина».",I don’t think she needs a car.,1375.15
100,Lesson_27,1381.95,"Спросите его, достаточно ли у него денег.",Do you have enough money?,1394.1
101,Lesson_27,1394.1,"Say «да, я так думаю».","Yes, I think so.",1405.17
102,Lesson_27,1409.64,Try to say «нам ничего не нужно».,We don’t need anything.,1420.8
103,Lesson_27,1429.93,И нашей подруге тоже ничего не нужно.,And our friend doesn’t need anything.,1442.9
104,Lesson_27,1454.7,Мы собираемся уехать.,We are going to leave.,1465.23
105,Lesson_27,1465.23,Завтра ночью.,Tomorrow night.,1473.57
106,Lesson_27,1473.57,Мы бы хотели увидеть Вашингтон.,We’d like to see Washington.,1484.91
107,Lesson_27,1484.91,Say «наша подруга живет там».,Our friend lives there.,1496.43
108,Lesson_27,1500.26,Она там работает тоже.,She works there too.,1509.79
109,Lesson_27,1514.76,Do you remember how to ask «куда вы едите?»,Where are you going?,1525.19
110,Lesson_27,1529.35,Ask if the department stores are open now.,Are the department stores open now?,1543.68
111,Lesson_27,1543.68,Say «я так не думаю».,I don’t think so.,1553.75
112,Lesson_27,1557.83,Do you remember how to say «моя жена хочет».,My wife wants.,1569.99
113,Lesson_27,1569.99,Ask «что хочет делать ваша жена?»,What does your wife want to do?,1581.87
114,Lesson_27,1588.07,Say «нам ничего не нужно».,We don’t need anything.,1599.68
115,Lesson_27,1604.96,Но мы хотим кое‐что купить.,But we want to buy something.,1617.91
116,Lesson_27,1617.91,«В магазине» имея ввиду какой‐нибудь магазин вообще.,In a store.,1627.16
117,Lesson_27,1630.81,Мы хотим кое‐что купить.,We want to buy something.,1640.69
118,Lesson_27,1640.69,Для нашей подруги Marry.,For our friend Marry.,1651.49
119,Lesson_27,1656.59,Say «простите».,I’m sorry.,1663.85
120,Lesson_27,1666.46,Вы ничего не сможете купить.,You can’t buy anything.,1675.98
121,Lesson_27,1681.65,Для вашей подруги.,For your friend.,1690.26
122,Lesson_27,1690.26,Ask «почему?»,Why?,1696.79
123,Lesson_27,1698.82,Try to say «сейчас слишком поздно».,It’s too late.,1706.35
124,Lesson_27,1712.26,"Скажите, что универмаги сейчас закрыты.",The department stores are closed now.,1725.77
125,Lesson_27,1732.49,"Скажите, что завтра они будут открыты.",They’re open tomorrow.,1744.1
126,Lesson_27,1744.1,Say «мы собираемся уехать завтра».,We are going to leave tomorrow.,1756.71
127,Lesson_27,1756.71,Вместе ,Together,1763.69
128,Lesson_27,1763.69,"Say «Бостон ‐дорогой», имея ввиду дорогой город.",Boston is expensive.,1776.93
129,Lesson_27,1782.37,И Вашингтон тоже дорогой.,And Washington is expensive too.,1795.62
