Number,Subject,TimeQuest,Question,Answer,TimeTemp
53,Lesson_28,817.64,In English how do you say «слово»?,Word,826.53
54,Lesson_28,829.25,Say the word «shoot».,Shoot,836.32
55,Lesson_28,838.82,Ask what that means.,What does that mean?,846.44
56,Lesson_28,846.44,Say «мы здесь».,We are here.,855.15
57,Lesson_28,859.57,Дней ,Days,862.83
58,Lesson_28,870.45,Say again «несколько дней».,A few days,880.36
59,Lesson_28,880.36,«Мы здесь на несколько дней». Listen and repeat.,We’re here for a few days.,890.43
60,Lesson_28,926.74,Скажите еще раз «мы здесь на несколько дней».,We’re here for a few days.,938.89
61,Lesson_28,938.89,Try to ask «сколько дней?»,How many days?,948.41
62,Lesson_28,952.44,Say «на три или четыре дня».,For three or four days.,965.87
63,Lesson_28,965.87,«Как долго?» Listen and repeat.,How long?,973.03
64,Lesson_28,982.26,Ask again «как долго?»,How long?,990.24
65,Lesson_28,990.24,На несколько дней.,For a few days.,998.77
66,Lesson_28,1004.27,How long are you going to stay? Ask what that means.,What does that mean?,1016.6
67,Lesson_28,1016.6,Слово «stay».,The word «stay».,1026.76
68,Lesson_28,1032.08,«Это означает «остаться»». Listen and repeat.,That means «остаться».,1041.51
69,Lesson_28,1061.04,"Попробуйте сказать «я знаю, что это означает».",I know what that means.,1071.83
70,Lesson_28,1071.83,"А как спросить, что это означает?",What does that mean?,1083.71
71,Lesson_28,1083.71,Say again «это означает «остаться»».,That means «остаться».,1096.14
72,Lesson_28,1096.14,"А‐а‐а, теперь я понимаю.","Oh‐h‐h, I understand now.",1109.66
73,Lesson_28,1109.66,Try to ask «вы собираетесь остаться?»,Are you going to stay?,1121.27
74,Lesson_28,1128.81,Ask «как долго?»,How long?,1135.53
75,Lesson_28,1138.78,На несколько дней.,For a few days.,1147.76
76,Lesson_28,1147.76,Ask me again if I’m going to stay.,Are you going to stay?,1158.38
77,Lesson_28,1158.38,"Do you remember how to say «да, я так думаю».","Yes, I think so.",1170.35
78,Lesson_28,1174.79,"And how do you say «я думаю, что я собираюсь остаться».",I think I’m going to stay.,1188.49
79,Lesson_28,1193.72,Try to ask «как долго вы собираетесь остаться?»,How long are you going to stay?,1208.06
80,Lesson_28,1208.06,На несколько дней.,For a few days.,1218.12
81,Lesson_28,1222.78,Мы собираемся остаться.,We are going to stay.,1232.85
82,Lesson_28,1232.85,На несколько дней.,For a few days.,1242.1
83,Lesson_28,1242.1,«У нас немного времени». Listen and repeat.,We don’t have much time.,1251.08
84,Lesson_28,1266.29,"Скажите еще раз, что у вас немного времени.",We don’t have much time.,1279.17
85,Lesson_28,1283.1,"Вы помните, как спросить «который час?»",What time is it?,1292.08
86,Lesson_28,1295.68,Скажите еще раз «у нас немного времени».,We don’t have much time.,1308.1
87,Lesson_28,1308.1,Мы едем в Бостон.,We’re going to Boston.,1318.44
88,Lesson_28,1318.44,Мы собираемся уехать завтра.,We’re going to leave tomorrow.,1329.78
89,Lesson_28,1329.78,Вместе ,Together,1336.31
90,Lesson_28,1336.31,Наш друг живет в Бостоне.,Our friend lives in Boston.,1348.47
91,Lesson_28,1348.47,Он работает там тоже.,He works there too.,1359.17
92,Lesson_28,1359.17,У него нет машины.,He doesn’t have a car.,1369.42
93,Lesson_28,1369.42,Try to ask «ему нужна машина?»,Does he need a car?,1380.3
94,Lesson_28,1384.78,Я так не думаю.,I don’t think so.,1393.3
95,Lesson_28,1393.3,Now say «ему не нужна машина».,He doesn’t need a car.,1405.19
96,Lesson_28,1405.19,Он хочет купить машину.,He wants to buy a car.,1416.52
97,Lesson_28,1416.52,Try to say «он хочет купить американскую машину».,He wants to buy an American car.,1431.31
98,Lesson_28,1441.86,Но ему нужно много денег.,But he needs a lot of money.,0
99,Lesson_28,0,Нам ничего не нужно.,We don’t need anything.,1463.45
100,Lesson_28,1468.5,Мы собираемся увидеть своего друга.,We’re going to see our friend.,1482.11
101,Lesson_28,1482.11,Now say «мы хотели бы увидеть своего друга».,We’d like to see our friend.,1496.26
102,Lesson_28,1496.26,Мы бы хотели остаться в Бостоне.,We’d like to stay in Boston.,1508.32
103,Lesson_28,1508.32,На три дня.,For three days.,1516.67
104,Lesson_28,1520.5,Ask how long he is going to stay.,How long are you going to stay?,1531.75
105,Lesson_28,1531.75,Ask how long he is going to stay in Boston.,How long are you going to stay in Boston?,1547.71
106,Lesson_28,1547.71,Мы хотели бы остаться на 3 дня.,We’d like to stay for three days.,1561.59
107,Lesson_28,1561.59,У нас немного времени.,We don’t have much time.,1573.74
108,Lesson_28,1573.74,Мы не можем остаться.,We can’t stay.,1583.45
109,Lesson_28,1587.58,Мы не можем остаться на пять дней.,We can’t stay for five days.,1600
110,Lesson_28,1602.98,Ask what that means.,What does that mean?,1610.51
111,Lesson_28,1614.67,Слово «shoot».,The word «shoot».,1623.92
112,Lesson_28,1623.92,"Say «я не знаю, что это означает».",I don’t know what that means.,1636.07
113,Lesson_28,1645.87,Say «мы хотели бы остаться».,We’d like to stay.,1655.75
114,Lesson_28,1655.75,Но у нас немного времени.,But we don’t have much time.,1666.37
115,Lesson_28,1666.37,Now say «я хотел бы остаться в Америке».,I’d like to stay in America.,1679.7
116,Lesson_28,1679.7,Мы с женой здесь вместе.,My wife and I are here together.,1692.13
117,Lesson_28,1692.13,Say «моя жена хочет уехать».,My wife wants to leave.,1704.82
118,Lesson_28,1704.82,Она хочет увидеть наших детей.,She wants to see our children.,1716.52
119,Lesson_28,1716.52,Ask what time it is?,What time is it?,1724.84
120,Lesson_28,1732.1,Ask what that means.,What does that mean?,1739.72
121,Lesson_28,1739.72,Слово «shoot».,The word «shoot».,1748.7
122,Lesson_28,1748.7,Что это означает?,What does that mean?,1757.05
123,Lesson_28,1757.05,Это означает.,That means,1764.94
124,Lesson_28,1772.38,Вот что означает «shoot».,That’s what «shoot» means.,1777.55
