Number,Subject,TimeQuest,Question,Answer,TimeTemp
77,Lesson_31,1303.25,с американскими друзьями,with some American friends,1314.3
78,Lesson_31,1314.3,"try to say: ""Но они не говорили по-английски""",but they didn’t speak English,1327.3
79,Lesson_31,1332.71,с моим мужем,with my husband,1340.86
80,Lesson_31,1340.86,Они не говорили с ним по-английски.,They didn’t speak English with him.,1352.67
81,Lesson_31,1355.89,"Say: ""Ваша дочь"".",Your daughter.,1364.35
82,Lesson_31,1364.35,"Try to ask: ""Ваша дочь живет в Бостоне, не так-ли?""","Your daughter lives in Boston, doesn’t she?",1380.54
83,Lesson_31,1385.03,"Ask: ""Старшая?""",The older one?,1393.25
84,Lesson_31,1393.25,"The older one? Как ответить кратко, что да.","Yes, she does.",1405.74
85,Lesson_31,1409.56,Она живет там с друзьями.,She lives there with some friends.,1421.16
86,Lesson_31,1421.16,мексиканские друзья,Some mexican friends,1432.07
87,Lesson_31,1444.09,Где находится ваш отель?,Where’s your hotel?,1452.55
88,Lesson_31,1452.55,"Answer: ""На парковом проспекте"".",On Park Avenue.,1462.77
89,Lesson_31,1466.72,"How do you ask: ""Вам нравится отель?""",Do you like the hotel?,1477.93
90,Lesson_31,1477.93,"Now try do ask: ""Вам нравится отель, не так-ли?""?","You like the hotel, don’t you?",1492.84
91,Lesson_31,1509.44,"Спросите ещё раз: ""Вам нравится отель, не так-ли?""?","You like the hotel, don’t you?",1522.86
92,Lesson_31,1525.59,"Try do answer: ""Он неплохой"".",It’s not bad.,1535.25
93,Lesson_31,1539.04,Ванная комната большая.,The bathroom is big.,1548.8
94,Lesson_31,1548.8,Вы ели в отеле?,Did you eat at the hotel?,1559.35
95,Lesson_31,1566.01,"Да, вчера мы там ели.","Yes, we ate there yesterday.",1582.72
96,Lesson_31,1588.27,Ресторан хороший.,The restaurant is good.,1597.09
97,Lesson_31,1602.97,И не слишком дорогой.,And not too expensive.,1611.86
98,Lesson_31,1611.86,Ask «Правда?» или «В самом деле?»,Really? ,1621.38
99,Lesson_31,1624.32,Ask «Как долго вы собираетесь пробыть в Нью-Йорке?»,How long are you going to stay in New York?,1639.62
100,Lesson_31,1639.62,Try to say «Мой муж собирается уехать»,My husband is going to leave,1654.32
101,Lesson_31,1654.32,завтра утром,tomorrow morning,1664.95
102,Lesson_31,1673.01,Он собирается уехать завтра утром.,He is going to leave tomorrow morning.,1685.19
103,Lesson_31,1692.46,с нашей старшей дочерью,with our older daughter,1702.85
104,Lesson_31,1707.11,Они вместе едут в Бостон.,They are going to Boston together.,1719.57
105,Lesson_31,1727.31,"Ask «У вас есть машина, не так ли?»","You have a car, don’t you?",1739.17
106,Lesson_31,1755.44,У нас маленькая машина.,We have a small car.,1764.96
107,Lesson_31,1764.96,и Бостон не так уж далеко,And Boston isn’t too far,1775.57
108,Lesson_31,1775.57,Я останусь здесь,I’m going to stay here,1785.37
109,Lesson_31,1790.36,с младшей,with the little one,1798.52
110,Lesson_31,1798.52,Мы собираемся остаться здесь на несколько недель.,We are going to stay for a few weeks.,1812.57
111,Lesson_31,1812.57,и завтра утром,and tomorrow morning,1822.55
112,Lesson_31,1822.55,Mы увидим много вещей.,We are going to see a lot of things.,1834.61
113,Lesson_31,1834.61,Сейчас я пойду что-нибудь купить.,Now I’m going to buy something.,1847.31
114,Lesson_31,1847.31,для нашей старшей дочери,for our older daughter,1857.1
115,Lesson_31,1857.1,и куплю газету,And I’m going to buy a newspaper,1868.08
