Number,Subject,Answer,Question,TimeQuest,TimeTemp,Cours,Length,Date,Path,NumberBD
66,Lesson_33,and we bought too many things,и купили слишком много вещей,180,0,Pimsler English,1305,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-066.mp3,191
67,Lesson_33,Washington isn’t very big.,Вашингтон не очень большой.,183,0,Pimsler English,1213,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-067.mp3,192
68,Lesson_33,City,Say in English «город».,188,190,Pimsler English,810,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-068.mp3,193
69,Lesson_33,It’s not a big city.,Try to say «это небольшой город»,190,0,Pimsler English,1060,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-069.mp3,194
70,Lesson_33,Do you know Philadelphia?,Попробуйте спросить «вы знакомы с Филадельфией?»,193,0,Pimsler English,1132,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-070.mp3,195
71,Lesson_33,"You know Philadelphia, don’t you?","Now ask «Вы знакомы с Филадельфией, правда?»",197,198,Pimsler English,1350,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-071.mp3,196
72,Lesson_33,"No, I don’t know Philadelphia.","Нет, я не знаю Филадельфию.",198,200,Pimsler English,1543,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-072.mp3,197
73,Lesson_33,But we want to go there.,Say «Но мы хотим туда поехать».	,200,202,Pimsler English,1285,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-073.mp3,198
74,Lesson_33,Our son lives there.,Наш сын живет там.,202,204,Pimsler English,1108,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-074.mp3,199
75,Lesson_33,Which son?,She asks «Который сын?»,204,207,Pimsler English,906,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-075.mp3,200
76,Lesson_33,The older one?,Старший?,207,209,Pimsler English,769,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-076.mp3,201
77,Lesson_33,Or the younger one?,Или младший?,209,211,Pimsler English,782,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-077.mp3,202
78,Lesson_33,Our younger son lives there.,Say «Наш младший сын живет там».,211,214,Pimsler English,1317,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-078.mp3,203
79,Lesson_33,"He lives alone, doesn’t he?","Он живет один, правда?",214,216,Pimsler English,1076,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-079.mp3,204
80,Lesson_33,"No, he lives with some friends.","Say that no, he lives with some friends.",216,218,Pimsler English,1454,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-080.mp3,205
81,Lesson_33,Is Philadelphia a big city?,Ask if Philadelphia is a big city.,218,219,Pimsler English,1474,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-081.mp3,206
82,Lesson_33,New York is bigger.,She says «Нью-Йорк больше».,219,0,Pimsler English,1120,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-082.mp3,207
83,Lesson_33,And more expensive too.,А также более дорогой.,222,0,Pimsler English,1104,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-083.mp3,208
84,Lesson_33,How long are you going to stay in New York?,Как долго вы собираетесь пробыть в Нью-Йорке?,225,228,Pimsler English,1398,2023-10-17 17:38:04,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-084.mp3,209
85,Lesson_33,For two weeks.,Answer «Две недели».,228,229,Pimsler English,1023,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-085.mp3,210
86,Lesson_33,And then we’re going to Philadelphia.,А потом мы поедем в Филадельфию.,229,231,Pimsler English,1374,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-086.mp3,211
87,Lesson_33,We don’t know Philadelphia,Мы не знакомы с Филадельфией,231,233,Pimsler English,1192,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-087.mp3,212
88,Lesson_33,And we want to go there.,и хотим туда поехать.,233,235,Pimsler English,1039,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-088.mp3,213
89,Lesson_33,We want to see our son.,Мы хотим увидеть нашего сына.,235,238,Pimsler English,1217,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-089.mp3,214
90,Lesson_33,Our younger son.,Нашего младшего сына.,238,239,Pimsler English,987,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-090.mp3,215
91,Lesson_33,We want to see the city too.,"А еще мы хотим посмотреть город,",239,0,Pimsler English,1156,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-091.mp3,216
92,Lesson_33,But we don’t have much time,но у нас немного времени,242,244,Pimsler English,1076,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-092.mp3,217
93,Lesson_33,And,И,244,0,Pimsler English,657,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-093.mp3,218
94,Lesson_33,I have a lot of work tomorrow.,"Скажите, что у вас много работы завтра.",251,254,Pimsler English,1454,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-094.mp3,219
95,Lesson_33,See you later.,Скажите вашей знакомой «Увидимся».,254,0,Pimsler English,782,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-095.mp3,220
96,Lesson_33,When did you arrive?,Как он спросит вас «Когда вы приехали»?,257,258,Pimsler English,882,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-096.mp3,221
97,Lesson_33,We arrived last night.,Say «Мы приехали прошлой ночью».,258,261,Pimsler English,1209,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-097.mp3,222
98,Lesson_33,What did you do today?,He asks «Что вы делали сегодня?»,261,262,Pimsler English,1197,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-098.mp3,223
99,Lesson_33,This morning I saw some friends.,Try to answer «Этим утром я увидела несколько друзей»,262,0,Pimsler English,1644,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-099.mp3,224
100,Lesson_33,And I went to a department store.,и сходила в один универмаг.,265,268,Pimsler English,1201,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-100.mp3,225
101,Lesson_33,With your husband?,С вашим мужем?,268,270,Pimsler English,786,2023-10-17 17:38:05,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-101.mp3,226
102,Lesson_33,"No, I went alone.","Скажите, что нет, вы были одни.",270,272,Pimsler English,1156,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-102.mp3,227
103,Lesson_33,What did you buy?,Что купили?,272,273,Pimsler English,834,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-103.mp3,228
104,Lesson_33,I bought too many things.,"Ответьте, что купили слишком много вещей.",273,276,Pimsler English,1309,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-104.mp3,229
105,Lesson_33,Then we ate.,Потом мы поели.,276,278,Pimsler English,915,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-105.mp3,230
106,Lesson_33,At a very good restaurant.,В одном очень хорошем ресторане.,278,0,Pimsler English,1192,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-106.mp3,231
107,Lesson_33,We spoke English with the waiter.,Мы говорили по-английски с официантом.,281,282,Pimsler English,1277,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-107.mp3,232
108,Lesson_33,Now I’m going to buy some wine.,Сейчас я собираюсь купить немного вина.,282,284,Pimsler English,1329,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-108.mp3,233
109,Lesson_33,And some Mexican beer.,И немного мексиканского пива.,284,286,Pimsler English,1205,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-109.mp3,234
110,Lesson_33,"You like Mexican beer, don’t you?","Вам нравится мексиканское пиво, правда?",286,0,Pimsler English,1438,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-110.mp3,235
111,Lesson_33,Where did you go today?,"Сейчас спросите своего знакомого, куда он ходил сегодня.",289,0,Pimsler English,1172,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-111.mp3,236
112,Lesson_33,I went to Boston.,Я ездил в Бостон.,294,295,Pimsler English,967,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-112.mp3,237
113,Lesson_33,I saw a few friends there.,Я увиделся там с несколькими друзьями.,295,298,Pimsler English,1124,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-113.mp3,238
114,Lesson_33,Do you know Boston?,Вы знакомы с Бостоном?,298,300,Pimsler English,979,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-114.mp3,239
115,Lesson_33,"No, I don’t.",Кратко ответьте «Нет» (Я не знаю).,300,301,Pimsler English,1297,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-115.mp3,240
116,Lesson_33,It's not a big city.,He says «Это небольшой город».,301,303,Pimsler English,1100,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-116.mp3,241
117,Lesson_33,I’d like to go to Boston.,Say «Мне бы хотелось поехать в Бостон».,303,305,Pimsler English,1229,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-117.mp3,242
118,Lesson_33,But I have a lot of work.,Но у меня много работы.,305,307,Pimsler English,1043,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-118.mp3,243
119,Lesson_33,I have too much work.,Try to say «У меня слишком много работы».,307,0,Pimsler English,1285,2023-10-17 17:38:06,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-119.mp3,244
120,Lesson_33,Good-bye. See you tomorrow.,Say «До свидания. Увидимся завтра».,310,0,Pimsler English,1346,2023-10-17 17:38:07,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-120.mp3,245
