Number,Subject,Answer,Question,TimeQuest,TimeTemp,Cours,Length,Date,Path,NumberBD
40,Lesson_32,We bought a lot of things,Мы купили много вещей,111,112,Pimsler English,1018,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-040.mp3,40
41,Lesson_32,for our younger daughter,для нашей младшей дочери,112,115,Pimsler English,917,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-041.mp3,41
42,Lesson_32,and today,и сегодня,115,117,Pimsler English,692,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-042.mp3,42
43,Lesson_32,we are going to buy a car,мы собираемся купить машину,117,118,Pimsler English,952,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-043.mp3,43
44,Lesson_32,A car?,Машина?,118,121,Pimsler English,529,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-044.mp3,44
45,Lesson_32,Cars are very expensive.,Say that cars are very expensive.,121,123,Pimsler English,1056,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-045.mp3,45
46,Lesson_32,I know,Я знаю,123,124,Pimsler English,748,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-046.mp3,46
47,Lesson_32,but we need a car,но нам нужна машина,124,127,Pimsler English,879,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-047.mp3,47
48,Lesson_32,We need a car for our daughter,Нам нужна машина для нашей дочери,127,129,Pimsler English,1154,2023-10-17 17:36:23,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-048.mp3,48
49,Lesson_32,Your younger daughter?,Вашей младшей дочери?,129,131,Pimsler English,935,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-049.mp3,49
50,Lesson_32,"no, the older one","нет, старшей",131,132,Pimsler English,815,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-050.mp3,50
51,Lesson_32,She lives alone,Она живет одна,132,135,Pimsler English,846,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-051.mp3,51
52,Lesson_32,and she needs a car,и ей нужна машина,135,138,Pimsler English,869,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-052.mp3,52
53,Lesson_32,"She lives in Boston, doesn’t she?","Она живет в Бостоне, не так ли?",138,142,Pimsler English,1178,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-053.mp3,53
54,Lesson_32,"Yes, she does.","Кратко ответьте, что да, она живет в Бостоне.",142,144,Pimsler English,874,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-054.mp3,54
55,Lesson_32,But she is here with us now,Но она сейчас здесь с нами,144,147,Pimsler English,1602,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-055.mp3,55
56,Lesson_32,We ate with her,Мы ели с ней,147,151,Pimsler English,725,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-056.mp3,56
57,Lesson_32,this morning,сегодня утром,151,154,Pimsler English,684,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-057.mp3,57
58,Lesson_32,and tonight,и сегодня вечером,154,156,Pimsler English,625,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-058.mp3,58
59,Lesson_32,we’re going to have dinner ,мы собираемся ужинать,156,157,Pimsler English,905,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-059.mp3,59
60,Lesson_32,Our son,Наш сын,157,163,Pimsler English,535,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-060.mp3,60
61,Lesson_32,We’re going to have dinner with our son.,Мы собираемся поужинать с сыном.,163,165,Pimsler English,1305,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-061.mp3,61
62,Lesson_32,at a good restaurant,в хорошем ресторане,165,168,Pimsler English,819,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-062.mp3,62
63,Lesson_32,"Your son lives in Boston, doesn’t he?","Ваш сын живет в Бостоне, не так ли?",168,170,Pimsler English,1355,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-063.mp3,63
64,Lesson_32,Yes our son lives in Boston.,"Да, наш сын живет в Бостоне.",170,172,Pimsler English,1365,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-064.mp3,64
65,Lesson_32,And our daughter lives there too.,И наша дочь тоже там живет.,172,174,Pimsler English,1192,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-065.mp3,65
66,Lesson_32,Which daughter?,Какая дочь?,174,176,Pimsler English,594,2023-10-17 17:36:24,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-066.mp3,66
67,Lesson_32,The older one,старшая,176,180,Pimsler English,700,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-067.mp3,67
68,Lesson_32,Our younger daughter,Наша младшая дочь,180,181,Pimsler English,849,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-068.mp3,68
69,Lesson_32,Our younger daughter lives in Washington.,Наша младшая дочь живет в Вашингтоне.,181,184,Pimsler English,1328,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-069.mp3,69
70,Lesson_32,Our son arrived,Наш сын приехал,184,185,Pimsler English,999,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-070.mp3,70
71,Lesson_32,Our son arrived in New York yesterday.,Наш сын вчера приехал в Нью-Йорк.,185,187,Pimsler English,1411,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-071.mp3,71
72,Lesson_32,He arrived last night.,Он приехал вчера вечером.,187,195,Pimsler English,890,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-072.mp3,72
73,Lesson_32,When did he arrive?,Когда он приехал?,195,198,Pimsler English,997,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-073.mp3,73
74,Lesson_32,He arrived last night.,Он приехал вчера вечером.,198,200,Pimsler English,1116,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-074.mp3,74
75,Lesson_32,at eleven o’clock,в одиннадцать часов,200,203,Pimsler English,759,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-075.mp3,75
76,Lesson_32,That’s very late.,Say that it’s very late.,203,205,Pimsler English,756,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-076.mp3,76
77,Lesson_32,I know.,Say that you know.,205,209,Pimsler English,670,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-077.mp3,77
78,Lesson_32,We didn’t see our son last night.,Мы не видели нашего сына вчера вечером.,209,211,Pimsler English,1377,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-078.mp3,78
79,Lesson_32,Because he arrived too late.,Потому что он приехал слишком поздно.,211,215,Pimsler English,1038,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-079.mp3,79
80,Lesson_32,and he’s going to leave,и он собирается уезжать,215,217,Pimsler English,1024,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-080.mp3,80
81,Lesson_32,tomorrow night,завтра ночью,217,218,Pimsler English,753,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-081.mp3,81
82,Lesson_32,because,потому что,218,227,Pimsler English,606,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-082.mp3,82
83,Lesson_32,He wants to go to Philadelphia.,Он хочет поехать в Филадельфию.,227,234,Pimsler English,1249,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-083.mp3,83
84,Lesson_32,He wants to go to Philadelphia.,Он хочет поехать в Филадельфию.,234,236,Pimsler English,1126,2023-10-17 17:36:25,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-084.mp3,84
85,Lesson_32,Is he going alone?,Он едет один?,236,239,Pimsler English,888,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-085.mp3,85
86,Lesson_32,"No, he isn’t.","Ответьте кратко, что он едет не один.",239,242,Pimsler English,901,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-086.mp3,86
87,Lesson_32,A friend is going with him.,С ним едет подруга.,242,245,Pimsler English,915,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-087.mp3,87
88,Lesson_32,They are going to Philadelphia tomorrow.,Завтра они собираются в Филадельфию.,245,249,Pimsler English,1355,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-088.mp3,88
89,Lesson_32,We went,Мы ездили,249,252,Pimsler English,521,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-089.mp3,89
90,Lesson_32,We went to Philadelphia. ,Мы ездили в Филадельфию.,252,255,Pimsler English,1043,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-090.mp3,90
91,Lesson_32,We went to Philadelphia yesterday.,Мы вчера ездили в Филадельфию.,255,258,Pimsler English,1240,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-091.mp3,91
92,Lesson_32,Where did you go?,Куда вы ездили?,258,259,Pimsler English,871,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-092.mp3,92
93,Lesson_32,We went to Philadelphia.,Мы ездили в Филадельфию.,259,262,Pimsler English,945,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-093.mp3,93
94,Lesson_32,Our son wants to go there tomorrow.,Наш сын хочет пойти туда завтра.,262,266,Pimsler English,1230,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-094.mp3,94
95,Lesson_32,We went there yesterday.,Мы ездили туда вчера.,266,267,Pimsler English,994,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-095.mp3,95
96,Lesson_32,Did you have dinner there?,Вы там ужинали?,267,270,Pimsler English,1026,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-096.mp3,96
97,Lesson_32,Yes we did.,"Кратко ответьте, что да, мы там ужинали.",270,273,Pimsler English,898,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-097.mp3,97
98,Lesson_32,We ate with some friends.,Мы кушали с друзьями.,273,276,Pimsler English,1119,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-098.mp3,98
99,Lesson_32,At a good restaurant.,В хорошем ресторане.,276,277,Pimsler English,886,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-099.mp3,99
100,Lesson_32,Did you speak English with your friends?,Говорили ли вы по-английски со своими друзьями?,277,280,Pimsler English,1053,2023-10-17 17:36:26,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-100.mp3,100
101,Lesson_32,"No, we didn’t.","Кратко ответьте, что вы не говорили по-английски со своими друзьями.",280,282,Pimsler English,866,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-101.mp3,101
102,Lesson_32,"You like Philadelphia, don’t you?","Тебе нравится Филадельфия, не так ли?",282,286,Pimsler English,1176,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-102.mp3,102
103,Lesson_32,"Yes, I like Philadelphia very much.","Да, мне очень нравится Филадельфия.",286,289,Pimsler English,1079,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-103.mp3,103
104,Lesson_32,We went to Philadelphia yesterday.,Мы вчера ездили в Филадельфию.,289,290,Pimsler English,1180,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-104.mp3,104
105,Lesson_32,And our son wants to go there.,И наш сын хочет туда пойти.,290,292,Pimsler English,1141,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-105.mp3,105
106,Lesson_32,Tomorrow,Завтра,292,293,Pimsler English,550,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-106.mp3,106
107,Lesson_32,He arrived in New York last night.,Он приехал в Нью-Йорк вчера вечером.,293,296,Pimsler English,1274,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-107.mp3,107
108,Lesson_32,and tomorrow,и завтра,296,299,Pimsler English,732,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-108.mp3,108
109,Lesson_32,he wants to go to Philadelphia,он хочет поехать в Филадельфию,299,300,Pimsler English,1039,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-109.mp3,109
110,Lesson_32,Our younger daughter.,Наша младшая дочь.,300,304,Pimsler English,932,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-110.mp3,110
111,Lesson_32,Our younger daughter is in Washington.,Наша младшая дочь в Вашингтоне.,304,305,Pimsler English,1297,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-111.mp3,111
112,Lesson_32,and our older daughter ,и наша старшая дочь,305,307,Pimsler English,1154,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-112.mp3,112
113,Lesson_32,Our older daughter is going to Boston.,Наша старшая дочь едет в Бостон.,307,309,Pimsler English,1340,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-113.mp3,113
114,Lesson_32,Alone,Одна,309,310,Pimsler English,557,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-114.mp3,114
115,Lesson_32,"She likes Boston, doesn’t she?","Ей нравится Бостон, не так ли?",310,313,Pimsler English,1181,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-115.mp3,115
116,Lesson_32,"Yes, she likes Boston very much.","Да, ей очень нравится Бостон.",313,318,Pimsler English,1456,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-116.mp3,116
117,Lesson_32,She ate with us.,Она ела с нами.,318,320,Pimsler English,1009,2023-10-17 17:36:27,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-117.mp3,117
118,Lesson_32,This morning.,Сегодня утром.,320,321,Pimsler English,749,2023-10-17 17:36:28,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-118.mp3,118
119,Lesson_32,We ate at a good restaurant.,Мы ели в хорошем ресторане.,321,323,Pimsler English,1222,2023-10-17 17:36:28,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-119.mp3,119
120,Lesson_32,On East 52nd Street.,На Восточной 52-й улице.,323,326,Pimsler English,1315,2023-10-17 17:36:28,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-120.mp3,120
121,Lesson_32,We’re going to eat there tonight too.,Мы тоже собираемся там покушать сегодня вечером.,326,328,Pimsler English,1348,2023-10-17 17:36:28,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-121.mp3,121
122,Lesson_32,It’s very good.,Он очень хороший.,328,330,Pimsler English,785,2023-10-17 17:36:28,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-122.mp3,122
123,Lesson_32,And not too expensive.,И не слишком дорогой.,330,331,Pimsler English,1028,2023-10-17 17:36:28,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-123.mp3,123
124,Lesson_32,Would you like to eat there with us tonight?,Хотели бы вы поесть там с нами сегодня вечером?,331,336,Pimsler English,1373,2023-10-17 17:36:28,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-124.mp3,124
125,Lesson_32,"Yes, I would.","Да, мы бы хотели.",336,0,Pimsler English,906,2023-10-17 17:36:28,E:\English\PimsleurNew\Second\mp3\Pimsleur_32-125.mp3,125
